sku,title,status,score,candidate,vendor_code,color,image_count,source_url
MDVQ4,"Apple MacBook Air 15 Sky Blue (M5, 16GB, 512GB) (US)",exact,90,"Apple MacBook Air 15"" M5 2026 Русская раскладка 512GB 16GB небесно-голубой",MDVQ4-,небесно-голубой,4,http://api.rocketniks.ru/api/products/apple-macbook-air-15-m5-2026-russkaya-raskladka-512-16-nebesno-goluboy
MW1J3,"Apple MacBook Air 15 Starlight (M4 16GB, 256GB) (US)",exact,90,"Apple MacBook Air 15"" M4 (2025) Русская раскладка 16GB 256GB сияющая звезда",MW1J3R,сияющая звезда,9,http://api.rocketniks.ru/api/products/apple-macbook-air-15-m4-2025-16-256-siyayuschaya-zvezda
MW1K3,"Apple MacBook Air 15 Starlight (M4 16GB, 512GB) (US)",exact,90,"Apple MacBook Air 15"" M4 (2025) Русская раскладка 16GB 512GB сияющая звезда",MW1K3R,сияющая звезда,9,http://api.rocketniks.ru/api/products/apple-macbook-air-15-m4-2025-16-512-siyayuschaya-zvezda
MDVE4,"Apple MacBook Air 15 Starlight (M5, 16GB, 1TB) (US)",exact,90,"Apple MacBook Air 15"" M5 2026 Русская раскладка 1024GB 16GB сияющая звезда",MDVE4-,сияющая звезда,4,http://api.rocketniks.ru/api/products/apple-macbook-air-15-m5-2026-russkaya-raskladka-1024-16-siyayushchaya-zvezda
MDVD4,"Apple MacBook Air 15 Starlight (M5, 16GB, 512GB) (US)",exact,90,"Apple MacBook Air 15"" M5 2026 Русская раскладка 512GB 16GB сияющая звезда",MDVD4-,сияющая звезда,4,http://api.rocketniks.ru/api/products/apple-macbook-air-15-m5-2026-russkaya-raskladka-512-16-siyayushchaya-zvezda
MDE44,Apple MacBook Pro 14 M5 16/512 (2025) Silver (US-IN),exact,90,"Apple Macbook Pro 14.2"" M5 2025 16GB 512GB глянцевый серебристый",MDE44,серебристый,7,http://api.rocketniks.ru/api/products/apple-macbook-pro-14-2-m5-2025-16-512-serebristyy-glyancevyy
MGDQ4,Apple MacBook Pro 14 M5 Max 18/32 36GB 2TB Silver (IN),likely,40,"Apple MacBook Pro 14"" M5 Max 2025 18 CPU 32 GPU 64GB 1024GB Nano-texture Русская раскладка серебристый",-,серебристый,0,http://api.rocketniks.ru/api/products/apple-macbook-pro-14-m5-max-2026-nano-texture-64-russkaya-raskladka-2025-1024-18-cpu-32-gpu-serebristyy
MGDU4,Apple MacBook Pro 14 M5 Max 18/32 36GB 2TB Space Black (US-IN),likely,35,"Apple Macbook Pro 14.2"" M4 2024 Американская раскладка M4 Max 14core 36GB 1024GB космический черный",MX2K3,космический черный,7,http://api.rocketniks.ru/api/products/apple-macbook-pro-14-2-m4-max-14-yader-kosmicheskiy-chernyy-36-1024
MGDN4,Apple MacBook Pro 14 M5 Pro 15/16 24GB 1TB Silver (US),likely,33,"Apple Macbook Pro 14.2"" M4 2024 Американская раскладка M4 Pro 14core 24GB 1024GB серебристый",MX2F3,серебристый,7,http://api.rocketniks.ru/api/products/apple-macbook-pro-14-2-m4-pro-14-yader-serebristyy-24-1024
MGDR4,Apple MacBook Pro 14 M5 Pro 15/16 24GB 1TB Space Black (US-IN),likely,33,"Apple Macbook Pro 14.2"" M4 2024 Американская раскладка M4 Pro 14core 24GB 1024GB космический черный",MX2J3,космический черный,7,http://api.rocketniks.ru/api/products/apple-macbook-pro-14-2-m4-pro-14-yader-kosmicheskiy-chernyy-24-1024
MGDP4,Apple MacBook Pro 14 M5 Pro 18/20 24GB 2TB Silver (US-IN),likely,33,"Apple Macbook Pro 14.2"" M4 2024 Американская раскладка M4 Pro 14core 24GB 1024GB серебристый",MX2F3,серебристый,7,http://api.rocketniks.ru/api/products/apple-macbook-pro-14-2-m4-pro-14-yader-serebristyy-24-1024
MGDT4,Apple MacBook Pro 14 M5 Pro 18/20 24GB 2TB Space Black (US-IN),likely,33,"Apple Macbook Pro 14.2"" M4 2024 Американская раскладка M4 Pro 14core 24GB 1024GB космический черный",MX2J3,космический черный,7,http://api.rocketniks.ru/api/products/apple-macbook-pro-14-2-m4-pro-14-yader-kosmicheskiy-chernyy-24-1024
MJLV4,"Apple MacBook Pro 14 Silver M5 Pro 15/16 24GB, 2TB (US)",likely,33,"Apple Macbook Pro 14.2"" M4 2024 Американская раскладка M4 Pro 14core 24GB 1024GB серебристый",MX2F3,серебристый,7,http://api.rocketniks.ru/api/products/apple-macbook-pro-14-2-m4-pro-14-yader-serebristyy-24-1024
MJ3D4,"Apple MacBook Pro 14 Space Black (M5, 32GB, 1TB) (US-IN)",likely,40,"Apple Macbook Pro 14.2"" M5 2025 16GB 1024GB глянцевый космический черный",MDE14,космический черный,7,http://api.rocketniks.ru/api/products/apple-macbook-pro-14-2-m5-2025-16-1024-kosmicheskiy-chernyy-glyancevyy
MDE54,Apple MacBook Pro 14 М5 10/10 16/1TB Silver (US-IN),exact,80,"Apple Macbook Pro 14.2"" M5 2025 16GB 1024GB глянцевый серебристый",MDE54,серебристый,7,http://api.rocketniks.ru/api/products/apple-macbook-pro-14-2-m5-2025-16-1024-serebristyy-glyancevyy
MDE14,Apple MacBook Pro 14 М5 10/10 16/1TB Space Black (US-IN),exact,80,"Apple Macbook Pro 14.2"" M5 2025 16GB 1024GB глянцевый космический черный",MDE14,космический черный,7,http://api.rocketniks.ru/api/products/apple-macbook-pro-14-2-m5-2025-16-1024-kosmicheskiy-chernyy-glyancevyy
MDE64,Apple MacBook Pro 14 М5 10/10 24/1TB Silver (US-IN),exact,80,"Apple Macbook Pro 14.2"" M5 2025 24GB 1024GB глянцевый серебристый",MDE64,серебристый,7,http://api.rocketniks.ru/api/products/apple-macbook-pro-14-2-m5-2025-24-1024-serebristyy-glyancevyy
MDE34,Apple MacBook Pro 14 М5 10/10 24/1TB Space Black (US-IN),exact,80,"Apple Macbook Pro 14.2"" M5 2025 24GB 1024GB глянцевый космический черный",MDE34,космический черный,7,http://api.rocketniks.ru/api/products/apple-macbook-pro-14-2-m5-2025-24-1024-kosmicheskiy-chernyy-glyancevyy
APL-APL-AW-SERIES-11-46MM-ROSE-GLD-SB-S-M,Apple Watch Series 11 46mm Rose Gold SB S/M,likely,35,Apple Watch Series 11 46мм S/M розовое золото/легкие румяна,MEV64M,розовое золото/легкие румяна,9,http://api.rocketniks.ru/api/products/apple-watch-series-11-46-rozovoe-zolotolegkie-rumyana-s-m
DYS-HS05-NICKEL-COPPER-HK,Dyson HS05 Nickel Copper (HK),likely,48,Dyson Styler Airwrap Complete Long Multi Hair HS05  nickel/copper,14451329,nickel/copper,8,http://api.rocketniks.ru/api/products/dyson-styler-airwrap-complete-long-multi-hair-hs05-nickelcopper
DYS-HS08-CER-PNK-HK,Dyson HS08 Ceramic Pink (HK),likely,48,Dyson Airwrap i.d. Long HS08 Straight+Wavy  керамический розовый/розовое золото,60188601,керамический розовый/розовое золото,2,http://api.rocketniks.ru/api/products/dyson-airwrap-i-d--long-hs08-straightwavy-keramicheskiy-rozovyyrozovoe-zoloto
DYS-HS08-CER-PNK-DIFFUSE-HK,Dyson HS08 Ceramic Pink (diffuse) (HK),likely,39,Dyson Airwrap i.d. Long HS08 Straight+Wavy  керамический розовый/розовое золото,60188601,керамический розовый/розовое золото,2,http://api.rocketniks.ru/api/products/dyson-airwrap-i-d--long-hs08-straightwavy-keramicheskiy-rozovyyrozovoe-zoloto
DYS-HS08-KANZAN-PNK-HK,Dyson HS08 Kanzan Pink (HK),likely,48,Dyson Airwrap i.d. Long HS08 Straight+Wavy  розовый канзан,hs08idpkkazpereh,розовый канзан,2,http://api.rocketniks.ru/api/products/dyson-airwrap-i-d--long-hs08-straightwavy-rozovyy-kanzan
DYS-HD16-CER-PNK-CN,Dyson HD16 Ceramic Pink (CN),likely,48,Dyson Supersonic Nural HD16 керамический розовый/розовое золото,598973-02,керамический розовый/розовое золото,3,http://api.rocketniks.ru/api/products/dyson-supersonic-nural-hd16-keramicheskiy-rozovyyrozovoe-zoloto
DYS-HD16-CER-PNK-CASE-HK,Dyson HD16 Ceramic Pink (Case) (HK),likely,48,Dyson Supersonic Nural HD16 керамический розовый/розовое золото,598973-02,керамический розовый/розовое золото,3,http://api.rocketniks.ru/api/products/dyson-supersonic-nural-hd16-keramicheskiy-rozovyyrozovoe-zoloto
SONY-PS-5-SLIM-DIGITAL-825GB,PlayStation 5 Slim Digital 825gb (JP),likely,16,Sony PlayStation 5 Slim,CFI-2016A01Y,,6,http://api.rocketniks.ru/api/products/sony-playstation-5-slim
