sku,title,status,score,approval,candidate,vendor_code,color,image_count,source_url,matched,conflicts,soft_conflicts
MW1L3,Apple MacBook Air 15 Midnight (M4 16/256),exact,90,exact,"Apple MacBook Air 15"" M4 (2025) Русская раскладка 16GB 256GB полуночный",MW1L3R,полуночный,9,http://api.rocketniks.ru/api/products/apple-macbook-air-15-m4-2025-16-256-polunochnyy,"article MW1L3≈MW1L3R | model ['15', 'air', 'm4', 'macbook'] (100%) | macbook-screen ['15'] | color ['midnight']",,
MDVK4,"Apple MacBook Air 15 Midnight (M5, 16GB, 1TB) (US)",exact,90,exact,"Apple MacBook Air 15"" M5 2026 Русская раскладка 1024GB 16GB полуночный",MDVK4-,полуночный,4,http://api.rocketniks.ru/api/products/apple-macbook-air-15-m5-2026-russkaya-raskladka-1024-16-polunochnyy,"article MDVK4≈MDVK4- | model ['15', 'air', 'm5', 'macbook'] (100%) | macbook-screen ['15'] | color ['midnight']",,
MDVH4,"Apple MacBook Air 15 Midnight (M5, 16GB, 512GB) (US)",exact,90,exact,"Apple MacBook Air 15"" M5 2026 Русская раскладка 512GB 16GB полуночный",MDVH4-,полуночный,4,http://api.rocketniks.ru/api/products/apple-macbook-air-15-m5-2026-russkaya-raskladka-512-16-polunochnyy,"article MDVH4≈MDVH4- | model ['15', 'air', 'm5', 'macbook'] (100%) | macbook-screen ['15'] | color ['midnight']",,
MDVA4,"Apple MacBook Air 15 Silver (M5, 16GB, 1TB) (US)",exact,90,exact,"Apple MacBook Air 15"" M5 2026 Русская раскладка 1024GB 16GB серебристый",MDVA4-,серебристый,4,http://api.rocketniks.ru/api/products/apple-macbook-air-15-m5-2026-russkaya-raskladka-1024-16-serebristyy,"article MDVA4≈MDVA4- | model ['15', 'air', 'm5', 'macbook'] (100%) | macbook-screen ['15'] | color ['silver']",,
MDV94,"Apple MacBook Air 15 Silver (M5, 16GB, 512GB) (US)",exact,90,exact,"Apple MacBook Air 15"" M5 2026 Русская раскладка 512GB 16GB серебристый",MDV94-,серебристый,4,http://api.rocketniks.ru/api/products/apple-macbook-air-15-m5-2026-russkaya-raskladka-512-16-serebristyy,"article MDV94≈MDV94- | model ['15', 'air', 'm5', 'macbook'] (100%) | macbook-screen ['15'] | color ['silver']",,
MC7C4,"Apple MacBook Air 15 Sky Blue (M4 16GB, 512GB) (US)",rejected,50,rejected,"Apple MacBook Air 15"" M4 (2025) Русская раскладка 16GB 512GB серебристый",MC7C4R,серебристый,9,http://api.rocketniks.ru/api/products/apple-macbook-air-15-m4-2025-16-512-serebristyy,"article MC7C4≈MC7C4R | model ['15', 'air', 'm4', 'macbook'] (100%) | macbook-screen ['15']",color ['sky blue']≠['silver'],
MDVT4,"Apple MacBook Air 15 Sky Blue (M5, 16GB, 1TB) (US)",exact,90,exact,"Apple MacBook Air 15"" M5 2026 Русская раскладка 1024GB 16GB небесно-голубой",MDVT4-,небесно-голубой,4,http://api.rocketniks.ru/api/products/apple-macbook-air-15-m5-2026-russkaya-raskladka-1024-16-nebesno-goluboy,"article MDVT4≈MDVT4- | model ['15', 'air', 'm5', 'macbook'] (100%) | macbook-screen ['15'] | color ['sky blue']",,
MDVQ4,"Apple MacBook Air 15 Sky Blue (M5, 16GB, 512GB) (US)",exact,90,exact,"Apple MacBook Air 15"" M5 2026 Русская раскладка 512GB 16GB небесно-голубой",MDVQ4-,небесно-голубой,4,http://api.rocketniks.ru/api/products/apple-macbook-air-15-m5-2026-russkaya-raskladka-512-16-nebesno-goluboy,"article MDVQ4≈MDVQ4- | model ['15', 'air', 'm5', 'macbook'] (100%) | macbook-screen ['15'] | color ['sky blue']",,
MW1J3,"Apple MacBook Air 15 Starlight (M4 16GB, 256GB) (US)",exact,90,exact,"Apple MacBook Air 15"" M4 (2025) Русская раскладка 16GB 256GB сияющая звезда",MW1J3R,сияющая звезда,9,http://api.rocketniks.ru/api/products/apple-macbook-air-15-m4-2025-16-256-siyayuschaya-zvezda,"article MW1J3≈MW1J3R | model ['15', 'air', 'm4', 'macbook'] (100%) | macbook-screen ['15'] | color ['starlight']",,
MW1K3,"Apple MacBook Air 15 Starlight (M4 16GB, 512GB) (US)",exact,90,exact,"Apple MacBook Air 15"" M4 (2025) Русская раскладка 16GB 512GB сияющая звезда",MW1K3R,сияющая звезда,9,http://api.rocketniks.ru/api/products/apple-macbook-air-15-m4-2025-16-512-siyayuschaya-zvezda,"article MW1K3≈MW1K3R | model ['15', 'air', 'm4', 'macbook'] (100%) | macbook-screen ['15'] | color ['starlight']",,
MDVE4,"Apple MacBook Air 15 Starlight (M5, 16GB, 1TB) (US)",exact,90,exact,"Apple MacBook Air 15"" M5 2026 Русская раскладка 1024GB 16GB сияющая звезда",MDVE4-,сияющая звезда,4,http://api.rocketniks.ru/api/products/apple-macbook-air-15-m5-2026-russkaya-raskladka-1024-16-siyayushchaya-zvezda,"article MDVE4≈MDVE4- | model ['15', 'air', 'm5', 'macbook'] (100%) | macbook-screen ['15'] | color ['starlight']",,
MDVD4,"Apple MacBook Air 15 Starlight (M5, 16GB, 512GB) (US)",exact,90,exact,"Apple MacBook Air 15"" M5 2026 Русская раскладка 512GB 16GB сияющая звезда",MDVD4-,сияющая звезда,4,http://api.rocketniks.ru/api/products/apple-macbook-air-15-m5-2026-russkaya-raskladka-512-16-siyayushchaya-zvezda,"article MDVD4≈MDVD4- | model ['15', 'air', 'm5', 'macbook'] (100%) | macbook-screen ['15'] | color ['starlight']",,
MJLW4,"Apple MacBook Pro 14 Black M5 Pro 15/16 24GB, 2TB (US)",rejected,18,rejected,"Apple Macbook Pro 14.2"" M4 2024 Американская раскладка M4 Pro 14core 24GB 1024GB серебристый",MX2F3,серебристый,7,http://api.rocketniks.ru/api/products/apple-macbook-pro-14-2-m4-pro-14-yader-serebristyy-24-1024,"model ['14', 'macbook', 'pro'] (75%) | macbook-screen ['14']",color ['black']≠['silver'],
MDE04,Apple MacBook Pro 14 M5 16/512 (2025) Black (US-IN),rejected,50,rejected,"Apple Macbook Pro 14.2"" M5 2025 16GB 512GB глянцевый космический черный",MDE04,космический черный,7,http://api.rocketniks.ru/api/products/apple-macbook-pro-14-2-m5-2025-16-512-kosmicheskiy-chernyy-glyancevyy,"article MDE04≈MDE04 | model ['14', '2025', 'm5', 'macbook', 'pro'] (100%) | macbook-screen ['14']",color ['black']≠['space black'],
MDE44,Apple MacBook Pro 14 M5 16/512 (2025) Silver (US-IN),exact,90,exact,"Apple Macbook Pro 14.2"" M5 2025 16GB 512GB глянцевый серебристый",MDE44,серебристый,7,http://api.rocketniks.ru/api/products/apple-macbook-pro-14-2-m5-2025-16-512-serebristyy-glyancevyy,"article MDE44≈MDE44 | model ['14', '2025', 'm5', 'macbook', 'pro'] (100%) | macbook-screen ['14'] | color ['silver']",,
MGDQ4,Apple MacBook Pro 14 M5 Max 18/32 36GB 2TB Silver (IN),likely,40,likely,"Apple MacBook Pro 14"" M5 Max 2025 18 CPU 32 GPU 64GB 1024GB Nano-texture Русская раскладка серебристый",-,серебристый,0,http://api.rocketniks.ru/api/products/apple-macbook-pro-14-m5-max-2026-nano-texture-64-russkaya-raskladka-2025-1024-18-cpu-32-gpu-serebristyy,"model ['14', 'm5', 'macbook', 'max', 'pro'] (100%) | macbook-screen ['14'] | color ['silver']",,
MGDU4,Apple MacBook Pro 14 M5 Max 18/32 36GB 2TB Space Black (US-IN),likely,35,likely,"Apple Macbook Pro 14.2"" M4 2024 Американская раскладка M4 Max 14core 36GB 1024GB космический черный",MX2K3,космический черный,7,http://api.rocketniks.ru/api/products/apple-macbook-pro-14-2-m4-max-14-yader-kosmicheskiy-chernyy-36-1024,"model ['14', 'macbook', 'max', 'pro'] (80%) | macbook-screen ['14'] | color ['space black']",,
MGDN4,Apple MacBook Pro 14 M5 Pro 15/16 24GB 1TB Silver (US),likely,33,likely,"Apple Macbook Pro 14.2"" M4 2024 Американская раскладка M4 Pro 14core 24GB 1024GB серебристый",MX2F3,серебристый,7,http://api.rocketniks.ru/api/products/apple-macbook-pro-14-2-m4-pro-14-yader-serebristyy-24-1024,"model ['14', 'macbook', 'pro'] (75%) | macbook-screen ['14'] | color ['silver']",,
MGDR4,Apple MacBook Pro 14 M5 Pro 15/16 24GB 1TB Space Black (US-IN),likely,33,likely,"Apple Macbook Pro 14.2"" M4 2024 Американская раскладка M4 Pro 14core 24GB 1024GB космический черный",MX2J3,космический черный,7,http://api.rocketniks.ru/api/products/apple-macbook-pro-14-2-m4-pro-14-yader-kosmicheskiy-chernyy-24-1024,"model ['14', 'macbook', 'pro'] (75%) | macbook-screen ['14'] | color ['space black']",,
MGDP4,Apple MacBook Pro 14 M5 Pro 18/20 24GB 2TB Silver (US-IN),likely,33,likely,"Apple Macbook Pro 14.2"" M4 2024 Американская раскладка M4 Pro 14core 24GB 1024GB серебристый",MX2F3,серебристый,7,http://api.rocketniks.ru/api/products/apple-macbook-pro-14-2-m4-pro-14-yader-serebristyy-24-1024,"model ['14', 'macbook', 'pro'] (75%) | macbook-screen ['14'] | color ['silver']",,
MGDT4,Apple MacBook Pro 14 M5 Pro 18/20 24GB 2TB Space Black (US-IN),likely,33,likely,"Apple Macbook Pro 14.2"" M4 2024 Американская раскладка M4 Pro 14core 24GB 1024GB космический черный",MX2J3,космический черный,7,http://api.rocketniks.ru/api/products/apple-macbook-pro-14-2-m4-pro-14-yader-kosmicheskiy-chernyy-24-1024,"model ['14', 'macbook', 'pro'] (75%) | macbook-screen ['14'] | color ['space black']",,
MJLV4,"Apple MacBook Pro 14 Silver M5 Pro 15/16 24GB, 2TB (US)",likely,33,likely,"Apple Macbook Pro 14.2"" M4 2024 Американская раскладка M4 Pro 14core 24GB 1024GB серебристый",MX2F3,серебристый,7,http://api.rocketniks.ru/api/products/apple-macbook-pro-14-2-m4-pro-14-yader-serebristyy-24-1024,"model ['14', 'macbook', 'pro'] (75%) | macbook-screen ['14'] | color ['silver']",,
MJ3D4,"Apple MacBook Pro 14 Space Black (M5, 32GB, 1TB) (US-IN)",likely,40,likely,"Apple Macbook Pro 14.2"" M5 2025 16GB 1024GB глянцевый космический черный",MDE14,космический черный,7,http://api.rocketniks.ru/api/products/apple-macbook-pro-14-2-m5-2025-16-1024-kosmicheskiy-chernyy-glyancevyy,"model ['14', 'm5', 'macbook', 'pro'] (100%) | macbook-screen ['14'] | color ['space black']",,
MDE54,Apple MacBook Pro 14 М5 10/10 16/1TB Silver (US-IN),exact,80,exact,"Apple Macbook Pro 14.2"" M5 2025 16GB 1024GB глянцевый серебристый",MDE54,серебристый,7,http://api.rocketniks.ru/api/products/apple-macbook-pro-14-2-m5-2025-16-1024-serebristyy-glyancevyy,"article MDE54≈MDE54 | model ['14', 'macbook', 'pro'] (60%) | macbook-screen ['14'] | color ['silver']",,
MDE14,Apple MacBook Pro 14 М5 10/10 16/1TB Space Black (US-IN),exact,80,exact,"Apple Macbook Pro 14.2"" M5 2025 16GB 1024GB глянцевый космический черный",MDE14,космический черный,7,http://api.rocketniks.ru/api/products/apple-macbook-pro-14-2-m5-2025-16-1024-kosmicheskiy-chernyy-glyancevyy,"article MDE14≈MDE14 | model ['14', 'macbook', 'pro'] (60%) | macbook-screen ['14'] | color ['space black']",,
MDE64,Apple MacBook Pro 14 М5 10/10 24/1TB Silver (US-IN),exact,80,exact,"Apple Macbook Pro 14.2"" M5 2025 24GB 1024GB глянцевый серебристый",MDE64,серебристый,7,http://api.rocketniks.ru/api/products/apple-macbook-pro-14-2-m5-2025-24-1024-serebristyy-glyancevyy,"article MDE64≈MDE64 | model ['14', 'macbook', 'pro'] (60%) | macbook-screen ['14'] | color ['silver']",,
MDE34,Apple MacBook Pro 14 М5 10/10 24/1TB Space Black (US-IN),exact,80,exact,"Apple Macbook Pro 14.2"" M5 2025 24GB 1024GB глянцевый космический черный",MDE34,космический черный,7,http://api.rocketniks.ru/api/products/apple-macbook-pro-14-2-m5-2025-24-1024-kosmicheskiy-chernyy-glyancevyy,"article MDE34≈MDE34 | model ['14', 'macbook', 'pro'] (60%) | macbook-screen ['14'] | color ['space black']",,
APL-IP17-256-SAGE-IN,"Apple iPhone 17 256 ГБ Sage (IN, SIM+eSIM)",rejected,25,rejected,Apple iPhone 17 256GB eSIM+eSIM белый,MG474L,белый,4,http://api.rocketniks.ru/api/products/apple-iphone-17-256-esimesim-belyy,"model ['17', 'iphone'] (100%) | iphone-gen ['17']",color ['sage']≠['white'],
APL-IP17-512-SAGE-IN,"Apple iPhone 17 512 ГБ Sage (IN, SIM+eSIM)",rejected,25,rejected,Apple iPhone 17 256GB eSIM+eSIM белый,MG474L,белый,4,http://api.rocketniks.ru/api/products/apple-iphone-17-256-esimesim-belyy,"model ['17', 'iphone'] (100%) | iphone-gen ['17']",color ['sage']≠['white'],
APL-IPAIR-512-BLU-JP,"Apple iPhone Air 512 ГБ Bluе (JP, eSIM)",rejected,25,rejected,Apple iPhone Air 256GB eSim золотистый,MG1A4L,золотистый,9,http://api.rocketniks.ru/api/products/apple-iphone-air-256-esim-zolotistyy,"model ['air', 'iphone'] (100%)",color ['blue']≠['gold'],
APL-APL-AW-SE-40-MID-2025-S-M,Apple Watch SE 40 Midnight (2025) S/M (US),review,27,review,Apple Watch SE 3 44мм M/L без e-sim полуночный/полуночный, MEPJ4,полуночный/полуночный,5,http://api.rocketniks.ru/api/products/apple-watch-se-3-44-polunochnyypolunochnyy-ml-bez-e-sim,"model ['se', 'watch'] (50%) | color ['midnight']",,
APL-APL-AW-SE-44-STL-2025-S-M,Apple Watch SE 44 Starlight (2025) S/M (US),review,27,review,Apple Watch SE 2 2024 44мм сияющая звезда,MNJX3,сияющая звезда,8,http://api.rocketniks.ru/api/products/apple-watch-se-2-siyayuschaya-zvezda-44,"model ['se', 'watch'] (50%) | color ['starlight']",,
APL-APL-AW-SERIES-11-46MM-ROSE-GLD-SB-S-M,Apple Watch Series 11 46mm Rose Gold SB S/M,likely,35,likely,Apple Watch Series 11 46мм S/M розовое золото/легкие румяна,MEV64M,розовое золото/легкие румяна,9,http://api.rocketniks.ru/api/products/apple-watch-series-11-46-rozovoe-zolotolegkie-rumyana-s-m,"model ['11', 'series', 'watch'] (60%) | watch-series ['11'] | color ['rose gold'] | size ['46']mm",,
DYS-HUSHJET-PURFIER-COMPACT-SP01-WHT-SLV-GB,Dyson HushJet Purfier Compact SP01 White Silver (GB),rejected,20,rejected,Dyson V8 Advanced  серебро/никель,492637-01,серебро/никель,2,http://api.rocketniks.ru/api/products/dyson-v8-advanced,model ['dyson'] (20%) | color ['silver'],,
DYS-CLEAN-WASH-HYGIENE-WR03-A-KR,Dyson Clean+Wash Hygiene WR03-A (KR),review,10,review,Dyson G1 Wash  синий/черный,486236-01,синий/черный,2,http://api.rocketniks.ru/api/products/dyson-g1-wash,"model ['dyson', 'wash'] (40%)",,
DYS-V12-DETECT-SLIM-ABSOLUTE-SV46-YELL-NICK-GB,Dyson V12 Detect Slim Absolute SV46 (Yell/Nick) (GB),review,15,review,Dyson V12 Detect Slim Absolute серый/золотой,394436-01/470521-01 ,серый/золотой,5,http://api.rocketniks.ru/api/products/dyson-v12-detect-slim-absolute-seryyzolotoy,"model ['absolute', 'detect', 'dyson', 'slim', 'v12'] (62%)",,
DYS-V12-SV46-SUBMARINE-YELLOW-NICKEL-EU,Dyson V12 SV46 Submarine Yellow Nickel (EU),rejected,21,rejected,Dyson V8 Advanced  серебро/никель,492637-01,серебро/никель,2,http://api.rocketniks.ru/api/products/dyson-v8-advanced,model ['dyson'] (25%) | color ['nickel'],,
DYS-V15-SV47-DETECT-SUBMARINE-YELLOW-NICKEL-EU,Dyson V15 SV47 Detect Submarine Yellow Nickel (EU),rejected,20,rejected,Dyson Gen5detect Absolute Вилка EU  фиолетовый/никель,446989-02,фиолетовый/никель,3,http://api.rocketniks.ru/api/products/dyson-gen5detect-absolute-vilka-eu-fioletovyynikel,model ['dyson'] (20%) | color ['nickel'],,
DYS-V15-SV47-DETECT-SUBMARINE-YELLOW-NICKEL-GB,Dyson V15 SV47 Detect Submarine Yellow/Nickel (GB),rejected,20,rejected,Dyson Gen5detect Absolute Вилка EU  фиолетовый/никель,446989-02,фиолетовый/никель,3,http://api.rocketniks.ru/api/products/dyson-gen5detect-absolute-vilka-eu-fioletovyynikel,model ['dyson'] (20%) | color ['nickel'],,
DYS-V16-PISTON-ANIMAL-SV53-MATBLK-COPP-EU,Dyson V16 Piston Animal SV53 (MatBlack/Copp) (EU),review,14,review,Dyson V16 Piston Animal,492963-01-D,,3,http://api.rocketniks.ru/api/products/dyson-v16-piston-animal,"model ['animal', 'dyson', 'piston', 'v16'] (57%)",,
DYS-V16S-PISTON-ANIMAL-SV53A-MATBLK-COPP-KR,Dyson V16S Piston Animal SV53A (MatBlack/Copp) + подставка (KR),review,9,review,Dyson V16 Piston Animal,492963-01-D,,3,http://api.rocketniks.ru/api/products/dyson-v16-piston-animal,"model ['animal', 'dyson', 'piston'] (38%)",,
DYS-HT01-APRICOT-TOPAZ-CASE-HK,Dyson HT01 Apricot Topaz (Case) (HK),review,12,review,Dyson V16 Piston Animal,492963-01-D,,3,http://api.rocketniks.ru/api/products/dyson-v16-piston-animal,model ['dyson'] (50%),,
DYS-HT01-BLU-COPPER-HK,Dyson HT01 Blue Copper (HK),review,48,review,Dyson Airstrait HT01 никель/медный,airstraitht01_nic,никель/медный,3,http://api.rocketniks.ru/api/products/dyson-airstrait-ht01-nikelmednyy,"model ['dyson', 'ht01'] (100%) | dyson-code ['ht01'] | color ['copper']",,
DYS-HT01-KANZAN-PNK-CASE-HK,Dyson HT01 Kanzan Pink (Case) (HK),review,12,review,Dyson V16 Piston Animal,492963-01-D,,3,http://api.rocketniks.ru/api/products/dyson-v16-piston-animal,model ['dyson'] (50%),,
DYS-HS05-NICKEL-COPPER-HK,Dyson HS05 Nickel Copper (HK),likely,48,likely,Dyson Styler Airwrap Complete Long Multi Hair HS05  nickel/copper,14451329,nickel/copper,8,http://api.rocketniks.ru/api/products/dyson-styler-airwrap-complete-long-multi-hair-hs05-nickelcopper,"model ['dyson', 'hs05'] (100%) | dyson-code ['hs05'] | color ['copper', 'nickel']",,
DYS-HS08-AMB-SLK-HK,Dyson HS08 Amber Silk (HK),review,24,review,Dyson Airwrap i.d. Long HS08 Straight+Wavy  яшмовая слива,hs08idjasperplum,яшмовая слива,2,http://api.rocketniks.ru/api/products/dyson-airwrap-i-d--long-hs08-straightwavy-yashmovaya-sliva,"model ['dyson', 'hs08'] (67%) | dyson-code ['hs08']",,
DYS-HS08-APRICOT-TOPAZ-KR,Dyson HS08 Apricot topaz (KR),review,48,review,Dyson Airwrap i.d. Long HS08 Straight+Wavy  синие румяна/топаз,hs0853367001,синие румяна/топаз,2,http://api.rocketniks.ru/api/products/dyson-airwrap-i-d--long-hs08-straightwavy-sinie-rumyanatopaz,"model ['dyson', 'hs08'] (100%) | dyson-code ['hs08'] | color ['topaz']",,
DYS-HS08-CER-APRICOT-GB,Dyson HS08 Ceramic Apricot (GB),review,33,review,Dyson Airwrap i.d. Long HS08 Straight+Wavy  яшмовая слива,hs08idjasperplum,яшмовая слива,2,http://api.rocketniks.ru/api/products/dyson-airwrap-i-d--long-hs08-straightwavy-yashmovaya-sliva,"model ['dyson', 'hs08'] (100%) | dyson-code ['hs08']",,
DYS-HS08-CER-PATINA-TOPAZ-IN,Dyson HS08 Ceramic Patina Topaz (IN),review,39,review,Dyson Airwrap i.d. Long HS08 Straight+Wavy  синие румяна/топаз,hs0853367001,синие румяна/топаз,2,http://api.rocketniks.ru/api/products/dyson-airwrap-i-d--long-hs08-straightwavy-sinie-rumyanatopaz,"model ['dyson', 'hs08'] (67%) | dyson-code ['hs08'] | color ['topaz']",,
DYS-HS08-CER-PNK-HK,Dyson HS08 Ceramic Pink (HK),likely,48,likely,Dyson Airwrap i.d. Long HS08 Straight+Wavy  керамический розовый/розовое золото,60188601,керамический розовый/розовое золото,2,http://api.rocketniks.ru/api/products/dyson-airwrap-i-d--long-hs08-straightwavy-keramicheskiy-rozovyyrozovoe-zoloto,"model ['dyson', 'hs08'] (100%) | dyson-code ['hs08'] | color ['ceramic pink']",,
DYS-HS08-CER-PNK-DIFFUSE-HK,Dyson HS08 Ceramic Pink (diffuse) (HK),likely,39,likely,Dyson Airwrap i.d. Long HS08 Straight+Wavy  керамический розовый/розовое золото,60188601,керамический розовый/розовое золото,2,http://api.rocketniks.ru/api/products/dyson-airwrap-i-d--long-hs08-straightwavy-keramicheskiy-rozovyyrozovoe-zoloto,"model ['dyson', 'hs08'] (67%) | dyson-code ['hs08'] | color ['ceramic pink']",,
DYS-HS08-KANZAN-PNK-HK,Dyson HS08 Kanzan Pink (HK),likely,48,likely,Dyson Airwrap i.d. Long HS08 Straight+Wavy  розовый канзан,hs08idpkkazpereh,розовый канзан,2,http://api.rocketniks.ru/api/products/dyson-airwrap-i-d--long-hs08-straightwavy-rozovyy-kanzan,"model ['dyson', 'hs08'] (100%) | dyson-code ['hs08'] | color ['kanzan pink']",,
DYS-HS08-RED-VEL-HK,Dyson HS08 Red/Velvet (HK),review,24,review,Dyson Airwrap i.d. Long HS08 Straight+Wavy  яшмовая слива,hs08idjasperplum,яшмовая слива,2,http://api.rocketniks.ru/api/products/dyson-airwrap-i-d--long-hs08-straightwavy-yashmovaya-sliva,"model ['dyson', 'hs08'] (67%) | dyson-code ['hs08']",,
DYS-HS08-VINCA-BLU-TOPAZ-HK,Dyson HS08 Vinca Blue Topaz (HK),review,48,review,Dyson Airwrap i.d. Long HS08 Straight+Wavy  синие румяна/топаз,hs0853367001,синие румяна/топаз,2,http://api.rocketniks.ru/api/products/dyson-airwrap-i-d--long-hs08-straightwavy-sinie-rumyanatopaz,"model ['dyson', 'hs08'] (100%) | dyson-code ['hs08'] | color ['topaz']",,
