sku,title_raw,brand,color,category,source_url
MDE44,"Apple Macbook Pro 14.2"" M5 2025 16GB 512GB глянцевый серебристый",Apple,серебристый,Ноутбуки,http://api.rocketniks.ru/api/products/apple-macbook-pro-14-2-m5-2025-16-512-serebristyy-glyancevyy
MGDQ4,"Apple MacBook Pro 14"" M5 Max 2025 18 CPU 32 GPU 64GB 1024GB Nano-texture Русская раскладка серебристый",Apple,серебристый,Ноутбуки,http://api.rocketniks.ru/api/products/apple-macbook-pro-14-m5-max-2026-nano-texture-64-russkaya-raskladka-2025-1024-18-cpu-32-gpu-serebristyy
MGDU4,"Apple Macbook Pro 14.2"" M4 2024 Американская раскладка M4 Max 14core 36GB 1024GB космический черный",Apple,космический черный,Ноутбуки,http://api.rocketniks.ru/api/products/apple-macbook-pro-14-2-m4-max-14-yader-kosmicheskiy-chernyy-36-1024
MGDN4,"Apple Macbook Pro 14.2"" M4 2024 Американская раскладка M4 Pro 14core 24GB 1024GB серебристый",Apple,серебристый,Ноутбуки,http://api.rocketniks.ru/api/products/apple-macbook-pro-14-2-m4-pro-14-yader-serebristyy-24-1024
MGDR4,"Apple Macbook Pro 14.2"" M4 2024 Американская раскладка M4 Pro 14core 24GB 1024GB космический черный",Apple,космический черный,Ноутбуки,http://api.rocketniks.ru/api/products/apple-macbook-pro-14-2-m4-pro-14-yader-kosmicheskiy-chernyy-24-1024
MGDP4,"Apple Macbook Pro 14.2"" M4 2024 Американская раскладка M4 Pro 14core 24GB 1024GB серебристый",Apple,серебристый,Ноутбуки,http://api.rocketniks.ru/api/products/apple-macbook-pro-14-2-m4-pro-14-yader-serebristyy-24-1024
MGDT4,"Apple Macbook Pro 14.2"" M4 2024 Американская раскладка M4 Pro 14core 24GB 1024GB космический черный",Apple,космический черный,Ноутбуки,http://api.rocketniks.ru/api/products/apple-macbook-pro-14-2-m4-pro-14-yader-kosmicheskiy-chernyy-24-1024
MJLV4,"Apple Macbook Pro 14.2"" M4 2024 Американская раскладка M4 Pro 14core 24GB 1024GB серебристый",Apple,серебристый,Ноутбуки,http://api.rocketniks.ru/api/products/apple-macbook-pro-14-2-m4-pro-14-yader-serebristyy-24-1024
MJ3D4,"Apple Macbook Pro 14.2"" M5 2025 16GB 1024GB глянцевый космический черный",Apple,космический черный,Ноутбуки,http://api.rocketniks.ru/api/products/apple-macbook-pro-14-2-m5-2025-16-1024-kosmicheskiy-chernyy-glyancevyy
MDE54,"Apple Macbook Pro 14.2"" M5 2025 16GB 1024GB глянцевый серебристый",Apple,серебристый,Ноутбуки,http://api.rocketniks.ru/api/products/apple-macbook-pro-14-2-m5-2025-16-1024-serebristyy-glyancevyy
MDE14,"Apple Macbook Pro 14.2"" M5 2025 16GB 1024GB глянцевый космический черный",Apple,космический черный,Ноутбуки,http://api.rocketniks.ru/api/products/apple-macbook-pro-14-2-m5-2025-16-1024-kosmicheskiy-chernyy-glyancevyy
MDE64,"Apple Macbook Pro 14.2"" M5 2025 24GB 1024GB глянцевый серебристый",Apple,серебристый,Ноутбуки,http://api.rocketniks.ru/api/products/apple-macbook-pro-14-2-m5-2025-24-1024-serebristyy-glyancevyy
MDE34,"Apple Macbook Pro 14.2"" M5 2025 24GB 1024GB глянцевый космический черный",Apple,космический черный,Ноутбуки,http://api.rocketniks.ru/api/products/apple-macbook-pro-14-2-m5-2025-24-1024-kosmicheskiy-chernyy-glyancevyy
APL-IP17-256-SAGE-IN,Apple iPhone 17 256GB eSIM+eSIM белый,Apple,белый,Мобильные телефоны,http://api.rocketniks.ru/api/products/apple-iphone-17-256-esimesim-belyy
APL-IP17-512-SAGE-IN,Apple iPhone 17 256GB eSIM+eSIM белый,Apple,белый,Мобильные телефоны,http://api.rocketniks.ru/api/products/apple-iphone-17-256-esimesim-belyy
APL-IPAIR-512-BLU-JP,Apple iPhone Air 256GB eSim золотистый,Apple,золотистый,Мобильные телефоны,http://api.rocketniks.ru/api/products/apple-iphone-air-256-esim-zolotistyy
APL-APL-AW-SE-40-MID-2025-S-M,Apple Watch SE 3 44мм M/L без e-sim полуночный/полуночный,Apple,полуночный/полуночный,Умные часы и браслеты,http://api.rocketniks.ru/api/products/apple-watch-se-3-44-polunochnyypolunochnyy-ml-bez-e-sim
APL-APL-AW-SE-44-STL-2025-S-M,Apple Watch SE 2 2024 44мм сияющая звезда,Apple,сияющая звезда,Умные часы и браслеты,http://api.rocketniks.ru/api/products/apple-watch-se-2-siyayuschaya-zvezda-44
APL-APL-AW-SERIES-11-46MM-ROSE-GLD-SB-S-M,Apple Watch Series 11 46мм S/M розовое золото/легкие румяна,Apple,розовое золото/легкие румяна,Умные часы и браслеты,http://api.rocketniks.ru/api/products/apple-watch-series-11-46-rozovoe-zolotolegkie-rumyana-s-m
DYS-HUSHJET-PURFIER-COMPACT-SP01-WHT-SLV-GB,Dyson V8 Advanced  серебро/никель,Dyson,серебро/никель,Пылесосы,http://api.rocketniks.ru/api/products/dyson-v8-advanced
DYS-CLEAN-WASH-HYGIENE-WR03-A-KR,Dyson G1 Wash  синий/черный,Dyson,синий/черный,Пылесосы,http://api.rocketniks.ru/api/products/dyson-g1-wash
DYS-V12-DETECT-SLIM-ABSOLUTE-SV46-YELL-NICK-GB,Dyson V12 Detect Slim Absolute серый/золотой,Dyson,серый/золотой,Пылесосы,http://api.rocketniks.ru/api/products/dyson-v12-detect-slim-absolute-seryyzolotoy
DYS-V12-SV46-SUBMARINE-YELLOW-NICKEL-EU,Dyson V8 Advanced  серебро/никель,Dyson,серебро/никель,Пылесосы,http://api.rocketniks.ru/api/products/dyson-v8-advanced
DYS-V15-SV47-DETECT-SUBMARINE-YELLOW-NICKEL-EU,Dyson Gen5detect Absolute Вилка EU  фиолетовый/никель,Dyson,фиолетовый/никель,Пылесосы,http://api.rocketniks.ru/api/products/dyson-gen5detect-absolute-vilka-eu-fioletovyynikel
DYS-V15-SV47-DETECT-SUBMARINE-YELLOW-NICKEL-GB,Dyson Gen5detect Absolute Вилка EU  фиолетовый/никель,Dyson,фиолетовый/никель,Пылесосы,http://api.rocketniks.ru/api/products/dyson-gen5detect-absolute-vilka-eu-fioletovyynikel
DYS-V16-PISTON-ANIMAL-SV53-MATBLK-COPP-EU,Dyson V16 Piston Animal,Dyson,,Пылесосы,http://api.rocketniks.ru/api/products/dyson-v16-piston-animal
DYS-V16S-PISTON-ANIMAL-SV53A-MATBLK-COPP-KR,Dyson V16 Piston Animal,Dyson,,Пылесосы,http://api.rocketniks.ru/api/products/dyson-v16-piston-animal
DYS-HT01-APRICOT-TOPAZ-CASE-HK,Dyson V16 Piston Animal,Dyson,,Пылесосы,http://api.rocketniks.ru/api/products/dyson-v16-piston-animal
DYS-HT01-BLU-COPPER-HK,Dyson Airstrait HT01 никель/медный,Dyson,никель/медный,Выпрямители,http://api.rocketniks.ru/api/products/dyson-airstrait-ht01-nikelmednyy
DYS-HT01-KANZAN-PNK-CASE-HK,Dyson V16 Piston Animal,Dyson,,Пылесосы,http://api.rocketniks.ru/api/products/dyson-v16-piston-animal
DYS-HS05-NICKEL-COPPER-HK,Dyson Styler Airwrap Complete Long Multi Hair HS05  nickel/copper,Dyson,nickel/copper,Стайлеры,http://api.rocketniks.ru/api/products/dyson-styler-airwrap-complete-long-multi-hair-hs05-nickelcopper
DYS-HS08-AMB-SLK-HK,Dyson Airwrap i.d. Long HS08 Straight+Wavy  яшмовая слива,Dyson,яшмовая слива,Стайлеры,http://api.rocketniks.ru/api/products/dyson-airwrap-i-d--long-hs08-straightwavy-yashmovaya-sliva
DYS-HS08-APRICOT-TOPAZ-KR,Dyson Airwrap i.d. Long HS08 Straight+Wavy  синие румяна/топаз,Dyson,синие румяна/топаз,Стайлеры,http://api.rocketniks.ru/api/products/dyson-airwrap-i-d--long-hs08-straightwavy-sinie-rumyanatopaz
DYS-HS08-CER-APRICOT-GB,Dyson Airwrap i.d. Long HS08 Straight+Wavy  яшмовая слива,Dyson,яшмовая слива,Стайлеры,http://api.rocketniks.ru/api/products/dyson-airwrap-i-d--long-hs08-straightwavy-yashmovaya-sliva
DYS-HS08-CER-PATINA-TOPAZ-IN,Dyson Airwrap i.d. Long HS08 Straight+Wavy  синие румяна/топаз,Dyson,синие румяна/топаз,Стайлеры,http://api.rocketniks.ru/api/products/dyson-airwrap-i-d--long-hs08-straightwavy-sinie-rumyanatopaz
DYS-HS08-CER-PNK-HK,Dyson Airwrap i.d. Long HS08 Straight+Wavy  керамический розовый/розовое золото,Dyson,керамический розовый/розовое золото,Стайлеры,http://api.rocketniks.ru/api/products/dyson-airwrap-i-d--long-hs08-straightwavy-keramicheskiy-rozovyyrozovoe-zoloto
DYS-HS08-CER-PNK-DIFFUSE-HK,Dyson Airwrap i.d. Long HS08 Straight+Wavy  керамический розовый/розовое золото,Dyson,керамический розовый/розовое золото,Стайлеры,http://api.rocketniks.ru/api/products/dyson-airwrap-i-d--long-hs08-straightwavy-keramicheskiy-rozovyyrozovoe-zoloto
DYS-HS08-KANZAN-PNK-HK,Dyson Airwrap i.d. Long HS08 Straight+Wavy  розовый канзан,Dyson,розовый канзан,Стайлеры,http://api.rocketniks.ru/api/products/dyson-airwrap-i-d--long-hs08-straightwavy-rozovyy-kanzan
DYS-HS08-RED-VEL-HK,Dyson Airwrap i.d. Long HS08 Straight+Wavy  яшмовая слива,Dyson,яшмовая слива,Стайлеры,http://api.rocketniks.ru/api/products/dyson-airwrap-i-d--long-hs08-straightwavy-yashmovaya-sliva
DYS-HS08-VINCA-BLU-TOPAZ-HK,Dyson Airwrap i.d. Long HS08 Straight+Wavy  синие румяна/топаз,Dyson,синие румяна/топаз,Стайлеры,http://api.rocketniks.ru/api/products/dyson-airwrap-i-d--long-hs08-straightwavy-sinie-rumyanatopaz
DYS-HS08-VINCA-BLU-TOPAZ-ORG-DIFFUSE-HK,Dyson Airwrap i.d. Long HS08 Straight+Wavy  синие румяна/топаз,Dyson,синие румяна/топаз,Стайлеры,http://api.rocketniks.ru/api/products/dyson-airwrap-i-d--long-hs08-straightwavy-sinie-rumyanatopaz
DYS-HD16-AMB-SLK-CASE-HK,Dyson Supersonic Nural HD16 яшмовая слива,Dyson,яшмовая слива,Фены,http://api.rocketniks.ru/api/products/dyson-supersonic-nural-hd16-yashmovaya-sliva
DYS-HD16-APRICOT-TOPAZ-CASE-KR,Dyson Supersonic Nural HD16 синий/топаз,Dyson,синий/топаз,Фены,http://api.rocketniks.ru/api/products/dyson-supersonic-nural-hd16-siniytopaz
DYS-HD16-CER-PNK-CN,Dyson Supersonic Nural HD16 керамический розовый/розовое золото,Dyson,керамический розовый/розовое золото,Фены,http://api.rocketniks.ru/api/products/dyson-supersonic-nural-hd16-keramicheskiy-rozovyyrozovoe-zoloto
DYS-HD16-CER-PNK-CASE-HK,Dyson Supersonic Nural HD16 керамический розовый/розовое золото,Dyson,керамический розовый/розовое золото,Фены,http://api.rocketniks.ru/api/products/dyson-supersonic-nural-hd16-keramicheskiy-rozovyyrozovoe-zoloto
DYS-HD17-JAS-PLM-EU,Dyson V16 Piston Animal,Dyson,,Пылесосы,http://api.rocketniks.ru/api/products/dyson-v16-piston-animal
DYS-HD19-CER-PNK-HK,Dyson V16 Piston Animal,Dyson,,Пылесосы,http://api.rocketniks.ru/api/products/dyson-v16-piston-animal
