sku,title,brand,category,subcategory,price,stock,condition,color,memory,storage,screen_size,cpu,description,specs,tags,is_new,is_active,image_1
APL-AW-S11-46-GOLD-TI-LINK,Apple Watch Series 11 46mm Gold Titanium / Gold Link Bracelet,Apple,часы,Apple Watch,103000,1,new,Gold Titanium,,,46 мм,,Apple Watch Series 11 46 мм: титановый корпус Gold и золотистый блочный браслет Link Bracelet. Коробка с заломами — на сами часы это не влияет.,"{""Корпус"": ""Титан"", ""Размер корпуса"": ""46 мм"", ""Ремешок"": ""Gold Link Bracelet"", ""Состояние упаковки"": ""Помятая коробка""}","[""Apple Watch"", ""Series 11"", ""титан""]",true,true,https://store.storeimages.cdn-apple.com/1/as-images.apple.com/is/MXMH3_FV99_VW_34FR+watch-case-46-titanium-gold-cell-s11_VW_34FR+watch-face-46-titanium-gold-s11_VW_34FR_GEO_US?wid=1200&hei=1200&fmt=jpeg&qlt=90
APL-AW-ULTRA3-49-BLK-TI-MILAN-S,Apple Watch Ultra 3 49mm Black Titanium / Black Milanese Loop S,Apple,часы,Apple Watch,75000,1,new,Black Titanium,,,49 мм,,"Apple Watch Ultra 3 49 мм в чёрном титане с чёрной миланской петлёй, размер S. Ultra 3 — самый ёмкий аккумулятор и самый яркий экран в линейке.","{""Корпус"": ""Титан"", ""Размер корпуса"": ""49 мм"", ""Ремешок"": ""Black Milanese Loop S""}","[""Apple Watch"", ""Ultra 3"", ""титан""]",true,true,https://store.storeimages.cdn-apple.com/1/as-images.apple.com/is/MGHR4ref_VW_34FR+watch-case-49-titanium-black-ultra3_VW_34FR+watch-face-49-milanese-ultra3_VW_34FR_GEO_US?wid=1200&hei=1200&fmt=jpeg&qlt=90
MXMC3,Apple Watch Link Bracelet 42mm Gold,Apple,аксессуары,Ремешки Apple Watch,40000,1,new,Gold,,,,,"Оригинальный титановый блочный браслет Apple Link Bracelet для Apple Watch 42 мм, золотистый оттенок. Звенья снимаются без инструмента. Артикул MXMC3.","{""Артикул"": ""MXMC3"", ""Материал"": ""Титан"", ""Размер корпуса"": ""42 мм""}","[""ремешок"", ""Apple Watch"", ""Link Bracelet""]",true,true,https://store.storeimages.cdn-apple.com/1/as-images.apple.com/is/MXMC3?wid=1200&hei=1200&fmt=jpeg&qlt=90
MXMA3,Apple Watch Link Bracelet 42mm Natural,Apple,аксессуары,Ремешки Apple Watch,40000,1,new,Natural,,,,,"Оригинальный титановый блочный браслет Apple Link Bracelet для Apple Watch 42 мм, натуральный оттенок. Звенья снимаются без инструмента. Артикул MXMA3.","{""Артикул"": ""MXMA3"", ""Материал"": ""Титан"", ""Размер корпуса"": ""42 мм""}","[""ремешок"", ""Apple Watch"", ""Link Bracelet""]",true,true,https://store.storeimages.cdn-apple.com/1/as-images.apple.com/is/MXMA3?wid=1200&hei=1200&fmt=jpeg&qlt=90
MXMD3,Apple Watch Link Bracelet 42mm Slate,Apple,аксессуары,Ремешки Apple Watch,40000,1,new,Slate,,,,,"Оригинальный титановый блочный браслет Apple Link Bracelet для Apple Watch 42 мм, графитовый оттенок. Звенья снимаются без инструмента. Артикул MXMD3.","{""Артикул"": ""MXMD3"", ""Материал"": ""Титан"", ""Размер корпуса"": ""42 мм""}","[""ремешок"", ""Apple Watch"", ""Link Bracelet""]",true,true,https://store.storeimages.cdn-apple.com/1/as-images.apple.com/is/MXMD3?wid=1200&hei=1200&fmt=jpeg&qlt=90
APL-IPAD-AIR-6-13-M2-LTE-128-GRY,"Apple iPad Air 6 13"" M2 128GB LTE Space Gray (заменён дисплей)",Apple,планшеты,iPad Air,45000,1,refurbished,Space Gray,,128 ГБ,13 дюймов,M2,iPad Air 6 поколения на чипе M2 с экраном 13 дюймов и сотовой связью. Дисплей был заменён в сервисе — отсюда цена заметно ниже обычной.,"{""Поколение"": ""6 (2024)"", ""Чип"": ""M2"", ""Экран"": ""13 дюймов"", ""Связь"": ""Wi-Fi + Cellular"", ""Накопитель"": ""128 ГБ"", ""Примечание"": ""Заменён дисплей""}","[""iPad"", ""iPad Air"", ""M2""]",true,true,"https://store.storeimages.cdn-apple.com/1/as-images.apple.com/is/ipad-air-finish-select-gallery-202405-13inch-space-gray?cropN=0.21875,0,0.5625,1&wid=1200&fmt=jpeg&qlt=90"
APL-IPAD-AIR-6-13-M2-LTE-128-PUR,"Apple iPad Air 6 13"" M2 128GB LTE Purple",Apple,планшеты,iPad Air,63000,1,new,Purple,,128 ГБ,13 дюймов,M2,"iPad Air 6 поколения на чипе M2: экран Liquid Retina 13 дюймов, сотовая связь, поддержка Apple Pencil Pro и Magic Keyboard.","{""Поколение"": ""6 (2024)"", ""Чип"": ""M2"", ""Экран"": ""13 дюймов"", ""Связь"": ""Wi-Fi + Cellular"", ""Накопитель"": ""128 ГБ""}","[""iPad"", ""iPad Air"", ""M2""]",true,true,"https://store.storeimages.cdn-apple.com/1/as-images.apple.com/is/ipad-air-finish-select-gallery-202405-13inch-purple?cropN=0.21875,0,0.5625,1&wid=1200&fmt=jpeg&qlt=90"
APL-IPAD-AIR-7-13-M3-WIFI-128-PUR,"Apple iPad Air 7 13"" M3 128GB Wi-Fi Purple",Apple,планшеты,iPad Air,75000,1,new,Purple,,128 ГБ,13 дюймов,M3,"iPad Air 7 поколения на чипе M3. Корпус тот же, что у шестого, но заметно быстрее в графике и задачах Apple Intelligence.","{""Поколение"": ""7 (2025)"", ""Чип"": ""M3"", ""Экран"": ""13 дюймов"", ""Связь"": ""Wi-Fi"", ""Накопитель"": ""128 ГБ""}","[""iPad"", ""iPad Air"", ""M3""]",true,true,"https://store.storeimages.cdn-apple.com/1/as-images.apple.com/is/ipad-air-finish-select-gallery-202405-13inch-purple?cropN=0.21875,0,0.5625,1&wid=1200&fmt=jpeg&qlt=90"
APL-IPAD-AIR-7-13-M3-WIFI-1TB-GRY,"Apple iPad Air 7 13"" M3 1TB Wi-Fi Space Gray",Apple,планшеты,iPad Air,100000,1,new,Space Gray,,1 ТБ,13 дюймов,M3,"iPad Air 7 на чипе M3 с максимальным накопителем 1 ТБ — под съёмку, монтаж и большие библиотеки проектов.","{""Поколение"": ""7 (2025)"", ""Чип"": ""M3"", ""Экран"": ""13 дюймов"", ""Связь"": ""Wi-Fi"", ""Накопитель"": ""1 ТБ""}","[""iPad"", ""iPad Air"", ""M3""]",true,true,"https://store.storeimages.cdn-apple.com/1/as-images.apple.com/is/ipad-air-finish-select-gallery-202405-13inch-space-gray?cropN=0.21875,0,0.5625,1&wid=1200&fmt=jpeg&qlt=90"
APL-IPAD-AIR-8-11-M4-LTE-512-GRY,"Apple iPad Air 8 11"" M4 512GB LTE Space Gray",Apple,планшеты,iPad Air,113000,1,new,Space Gray,,512 ГБ,11 дюймов,M4,iPad Air 8 поколения на новом чипе M4: компактный 11-дюймовый корпус и сотовая связь.,"{""Поколение"": ""8 (2026)"", ""Чип"": ""M4"", ""Экран"": ""11 дюймов"", ""Связь"": ""Wi-Fi + Cellular"", ""Накопитель"": ""512 ГБ""}","[""iPad"", ""iPad Air"", ""M4""]",true,true,"https://store.storeimages.cdn-apple.com/1/as-images.apple.com/is/ipad-air-finish-select-gallery-202405-11inch-space-gray?cropN=0.21875,0,0.5625,1&wid=1200&fmt=jpeg&qlt=90"
APL-IPAD-AIR-8-11-M4-LTE-1TB-BLU,"Apple iPad Air 8 11"" M4 1TB LTE Blue",Apple,планшеты,iPad Air,133000,1,new,Blue,,1 ТБ,11 дюймов,M4,iPad Air 8 на чипе M4 в максимальной конфигурации 11-дюймового корпуса: 1 ТБ и eSIM.,"{""Поколение"": ""8 (2026)"", ""Чип"": ""M4"", ""Экран"": ""11 дюймов"", ""Связь"": ""Wi-Fi + Cellular"", ""Накопитель"": ""1 ТБ""}","[""iPad"", ""iPad Air"", ""M4""]",true,true,"https://store.storeimages.cdn-apple.com/1/as-images.apple.com/is/ipad-air-finish-select-gallery-202405-11inch-blue?cropN=0.21875,0,0.5625,1&wid=1200&fmt=jpeg&qlt=90"
APL-IPAD-AIR-8-13-M4-LTE-256-GRY,"Apple iPad Air 8 13"" M4 256GB LTE Space Gray",Apple,планшеты,iPad Air,112500,1,new,Space Gray,,256 ГБ,13 дюймов,M4,iPad Air 8 на чипе M4 с большим 13-дюймовым экраном и сотовой связью.,"{""Поколение"": ""8 (2026)"", ""Чип"": ""M4"", ""Экран"": ""13 дюймов"", ""Связь"": ""Wi-Fi + Cellular"", ""Накопитель"": ""256 ГБ""}","[""iPad"", ""iPad Air"", ""M4""]",true,true,"https://store.storeimages.cdn-apple.com/1/as-images.apple.com/is/ipad-air-finish-select-gallery-202405-13inch-space-gray?cropN=0.21875,0,0.5625,1&wid=1200&fmt=jpeg&qlt=90"
APL-IPAD-AIR-8-13-M4-LTE-256-BLU,"Apple iPad Air 8 13"" M4 256GB LTE Blue",Apple,планшеты,iPad Air,112000,1,new,Blue,,256 ГБ,13 дюймов,M4,"iPad Air 8 на чипе M4: 13 дюймов, сотовая связь, синий корпус.","{""Поколение"": ""8 (2026)"", ""Чип"": ""M4"", ""Экран"": ""13 дюймов"", ""Связь"": ""Wi-Fi + Cellular"", ""Накопитель"": ""256 ГБ""}","[""iPad"", ""iPad Air"", ""M4""]",true,true,"https://store.storeimages.cdn-apple.com/1/as-images.apple.com/is/ipad-air-finish-select-gallery-202405-13inch-blue?cropN=0.21875,0,0.5625,1&wid=1200&fmt=jpeg&qlt=90"
APL-IPAD-AIR-8-13-M4-WIFI-512-GRY,"Apple iPad Air 8 13"" M4 512GB Wi-Fi Space Gray",Apple,планшеты,iPad Air,118000,1,new,Space Gray,,512 ГБ,13 дюймов,M4,"iPad Air 8 на чипе M4: 13 дюймов, 512 ГБ, версия Wi-Fi.","{""Поколение"": ""8 (2026)"", ""Чип"": ""M4"", ""Экран"": ""13 дюймов"", ""Связь"": ""Wi-Fi"", ""Накопитель"": ""512 ГБ""}","[""iPad"", ""iPad Air"", ""M4""]",true,true,"https://store.storeimages.cdn-apple.com/1/as-images.apple.com/is/ipad-air-finish-select-gallery-202405-13inch-space-gray?cropN=0.21875,0,0.5625,1&wid=1200&fmt=jpeg&qlt=90"
APL-IPAD-AIR-8-13-M4-WIFI-1TB-BLU,"Apple iPad Air 8 13"" M4 1TB Wi-Fi Blue",Apple,планшеты,iPad Air,125000,1,new,Blue,,1 ТБ,13 дюймов,M4,"iPad Air 8 на чипе M4 с накопителем 1 ТБ, 13 дюймов, Wi-Fi.","{""Поколение"": ""8 (2026)"", ""Чип"": ""M4"", ""Экран"": ""13 дюймов"", ""Связь"": ""Wi-Fi"", ""Накопитель"": ""1 ТБ""}","[""iPad"", ""iPad Air"", ""M4""]",true,true,"https://store.storeimages.cdn-apple.com/1/as-images.apple.com/is/ipad-air-finish-select-gallery-202405-13inch-blue?cropN=0.21875,0,0.5625,1&wid=1200&fmt=jpeg&qlt=90"
APL-IPAD-AIR-8-13-M4-WIFI-1TB-GRY,"Apple iPad Air 8 13"" M4 1TB Wi-Fi Space Gray",Apple,планшеты,iPad Air,143000,1,new,Space Gray,,1 ТБ,13 дюймов,M4,"iPad Air 8 на чипе M4: 13 дюймов, 1 ТБ, Wi-Fi, корпус Space Gray.","{""Поколение"": ""8 (2026)"", ""Чип"": ""M4"", ""Экран"": ""13 дюймов"", ""Связь"": ""Wi-Fi"", ""Накопитель"": ""1 ТБ""}","[""iPad"", ""iPad Air"", ""M4""]",true,true,"https://store.storeimages.cdn-apple.com/1/as-images.apple.com/is/ipad-air-finish-select-gallery-202405-13inch-space-gray?cropN=0.21875,0,0.5625,1&wid=1200&fmt=jpeg&qlt=90"
DYS-HS09-2026-CER-PNK-KR,Dyson Airwrap HS09 2026 Ceramic Pink/Rose Gold (KR),Dyson,красота,Стайлеры,55000,1,new,Ceramic Pink/Rose Gold,,,,,Мультистайлер Dyson Airwrap HS09 модельного года 2026 в расцветке Ceramic Pink / Rose Gold. Сушит и укладывает без экстремального нагрева.,"{""Артикул"": ""492466-01"", ""Регион"": ""Корея"", ""Модель"": ""HS09 (2026)""}","[""Dyson"", ""Airwrap"", ""стайлер""]",true,true,
DYS-HS09-2026-JAS-PLM-KR,Dyson Airwrap HS09 2026 Jasper Plum (KR),Dyson,красота,Стайлеры,55000,1,new,Jasper Plum,,,,,Мультистайлер Dyson Airwrap HS09 модельного года 2026 в расцветке Jasper Plum.,"{""Артикул"": ""492490-01"", ""Регион"": ""Корея"", ""Модель"": ""HS09 (2026)""}","[""Dyson"", ""Airwrap"", ""стайлер""]",true,true,
DYS-HD19-CER-PNK-SG,"Dyson Supersonic HD19 Ceramic Pink/Rose Gold (SG, без кейса)",Dyson,красота,Фены,25000,1,new,Ceramic Pink/Rose Gold,,,,,Фен Dyson Supersonic HD19 в расцветке Ceramic Pink / Rose Gold. Поставка без дорожного кейса — поэтому дешевле комплектных версий.,"{""Артикул"": ""492448-01"", ""Регион"": ""Сингапур"", ""Комплектация"": ""Без кейса""}","[""Dyson"", ""Supersonic"", ""фен""]",true,true,
DYS-BP04-PRUSSIAN-BLU-GLD,Dyson Purifier Big+Quiet Formaldehyde BP04 Prussian Blue/Gold,Dyson,бытовая техника,Климатическая техника,81500,1,new,Prussian Blue/Gold,,,,,Очиститель воздуха Dyson Purifier Big+Quiet Formaldehyde BP04 для больших помещений: разлагает формальдегид и работает тише предыдущих моделей.,"{""Модель"": ""BP04"", ""Назначение"": ""Очистка воздуха, разложение формальдегида""}","[""Dyson"", ""очиститель воздуха""]",true,true,
DYS-TP12-DENOX-WHT-GLD-SG,Dyson Purifier Cool PC2 De-NOx TP12 White/Gold (SG),Dyson,бытовая техника,Климатическая техника,43000,1,new,White/Gold,,,,,Воздухоочиститель-вентилятор Dyson TP12 Purifier Cool PC2 с фильтрацией оксидов азота (De-NOx). Летом работает как безлопастной вентилятор.,"{""Артикул"": ""546500-01"", ""Модель"": ""TP12"", ""Регион"": ""Сингапур""}","[""Dyson"", ""очиститель воздуха""]",true,true,
DYS-TP14-FIND-FOLLOW-WHT-GLD-KR,Dyson Purifier Cool PC3 Find+Follow TP14 White/Gold (KR),Dyson,бытовая техника,Климатическая техника,53000,1,new,White/Gold,,,,,Воздухоочиститель Dyson TP14 Purifier Cool PC3 с функцией Find+Follow: сам находит источник загрязнения и направляет поток воздуха туда.,"{""Артикул"": ""492256-01"", ""Модель"": ""TP14"", ""Регион"": ""Корея""}","[""Dyson"", ""очиститель воздуха""]",true,true,
KAR-K3-CAR-HOME-EU,Karcher K3 Car & Home минимойка (EU),Karcher,бытовая техника,Уборка,26500,1,new,,,,,,Мойка высокого давления Karcher K3 в комплектации Car & Home: насадки для мойки автомобиля и для дома. Европейская версия.,"{""Артикул"": ""1.676-356.0"", ""Регион"": ""Европа"", ""Тип"": ""Мойка высокого давления""}","[""Karcher"", ""минимойка""]",true,true,https://s1.kaercher-media.com/mam/16763560/mainproduct/781e8c51-b906-44e5-881d-2d5b8e06bc86/d0.jpg
KAR-FC7-CORDLESS-EU,Karcher FC7 Cordless электрошвабра (EU),Karcher,бытовая техника,Уборка,44000,1,new,,,,,,"Аккумуляторная электрошвабра Karcher FC7 Cordless: моет пол и собирает грязь за один проход, валики самоочищаются. Европейская версия.","{""Артикул"": ""1.055-701.0"", ""Регион"": ""Европа"", ""Питание"": ""Аккумулятор""}","[""Karcher"", ""электрошвабра""]",true,true,https://s1.kaercher-media.com/mam/10557010/mainproduct/59d8d756-b794-4182-8ec8-f2ecd6eea3ba/d0.jpg
KAR-FC7-CORDLESS-PREMIUM-EU,Karcher FC7 Cordless Premium электрошвабра (EU),Karcher,бытовая техника,Уборка,54000,1,new,,,,,,Karcher FC7 Cordless Premium — расширенная комплектация электрошвабры FC7: больше валиков и станция очистки. Европейская версия.,"{""Артикул"": ""1.055-760.0"", ""Регион"": ""Европа"", ""Питание"": ""Аккумулятор""}","[""Karcher"", ""электрошвабра""]",true,true,https://s1.kaercher-media.com/mam/10557600/mainproduct/152566/d0.jpg
JURA-E6-DARK-INOX-EU,Jura E6 Dark Inox кофемашина (EU),Jura,бытовая техника,Кофемашины,93000,1,new,Dark Inox,,,,,"Автоматическая кофемашина Jura E6 в отделке Dark Inox. Готовит эспрессо, капучино и латте макиато одним нажатием. Европейская версия.","{""Регион"": ""Европа"", ""Тип"": ""Автоматическая зерновая""}","[""Jura"", ""кофемашина""]",true,true,https://api.jura.com/media/global/images/home-products/e-linie-2022/e6/e6-dark-inox-ec-15439/e6_ec_darkinox_packshot.jpg
JURA-15437-E6-PIANO-BLACK,Jura E6 Piano Black кофемашина,Jura,бытовая техника,Кофемашины,108000,1,new,Piano Black,,,,,Автоматическая кофемашина Jura E6 в глянцевой отделке Piano Black.,"{""Артикул"": ""15437"", ""Тип"": ""Автоматическая зерновая""}","[""Jura"", ""кофемашина""]",true,true,https://api.jura.com/media/global/images/home-products/e-linie-2022/e6/e6-piano-black-ec-15437/e6_ec_pianoblack_packshot.jpg
JURA-15505-ONO-COFFEE-BLACK,Jura ONO Coffee Black кофемашина,Jura,бытовая техника,Кофемашины,43500,1,new,Coffee Black,,,,,"Jura ONO — компактная автоматическая кофемашина для тех, кто пьёт чёрный кофе: эспрессо и лунго из зерна, без молочной системы.","{""Артикул"": ""15505"", ""Тип"": ""Автоматическая зерновая""}","[""Jura"", ""кофемашина""]",true,true,https://api.jura.com/media/global/images/home-products/ONO/ONO_packshot.jpg
JURA-25048-PAG-GRINDER,Jura P.A.G. кофемолка,Jura,бытовая техника,Кофемашины,24000,1,new,,,,,,"Кофемолка Jura P.A.G.: профессиональные жернова и точная настройка помола под эспрессо, фильтр и френч-пресс.","{""Артикул"": ""25048"", ""Тип"": ""Кофемолка""}","[""Jura"", ""кофемолка""]",true,true,https://api.jura.com/media/global/images/home-products/accessories/coffee-grinder-PAG/pag_grinder_packshot.jpg
